Company,Position,Pay range,Notes,Date
SPI,Compositor (associate),"60,507 - 83,159",Feature,jul 2024
SPI,Nuke Tools Specialist,"129,000 - 185,250",Feature,may 2024
SPI,Environment Workflow TD,"104,707 - 134,992",Feature,sept 2024
SPI,Associaste Technical Director,"54,995 - 75,507",Feature,sept 2024
TIM,2D Adobe Animate/Flash Animator,"49,400 - 67,600",TV,oct 2024
TIM,Hand-drawn Harmony Animator,"49,400 - 67,600",TV,oct 2024
WB,"Series Director, CG ","112,320 - 143,000",TV,aug 2024
WB,"Director, 2D","78,000 - 127,400",TV,mar 2025
WB,"Producer, 2D","88,400 - 127,400",TV,mar 2025
WB,Associate Producer CG,"88,400 - 109,200",TV,sept 2024
WB,Production Supervisor,"67,600 - 89,440",TV,dec 2023
WB,"Production Supervisor, CG ","68,640 - 89,700",Feature,mar 2024
WB,"Production Coordinator, CG","52,000 - 72,800",Feature,apr 2025
WB,"Production Designer, CG","164,996 - 184,964",TV,feb 2025
WB,"Art Director, 2D","114,400 - 135,200",TV,apr 2025
WB,Character Designer (CG),"78,000 - 127,400",Feature,aug 2024
WB,"Colour Key Artist, CG","78,000 - 127,400",Feature,feb 2025
WB,"Senior Designer, CG","52,000 - 91,000",TV,sept 2024
WB,"Intermediate Designer, CG","52,000 - 91,000",TV,sept 2024
WB,"Designer (Vehicles), CG ","52,000 - 88,400",TV,apr 2025
WB,"BG Designer, 2D ","52,000 - 89,700",TV,apr 2025
WB,Head of CG Assets ,"165,100 - 184,600",TV,apr 2025
WB,"Modeling/Surfacing Supervisor, CG","109,980 - 149,968",TV,jun 2025
WB,Senior Character Modeler (Short Term Contract) ,"80,600 - 100,100",TV,oct 2024
WB,Surfacing Tech Artist (Unreal Experienced) ,"52,000 - 78,000",TV,may 2025
WB,Senior Rigging TD,"78,000 - 109,200",TV,apr 2024
WB,Rigging TD,"67,600 - 98,800",TV,apr 2024
WB,Grooming Supervisor,"109,980 - 149,968",TV,apr 2024
WB,Groom Supervisor ,"109,980 - 149,968",TV,apr 2025
WB,CFX Supervisor ,"140,000 - 150,000",TV,may 2024
WB,Head of Cinematography (Layout),"160,000 - 175,000",TV,apr 2024
WB,Senior Previs/Layout Artist - Feature ,"93,600 - 130,000",Feature,nov 2024
WB,"Senior Animator, CG ","52,000 - 78,000",TV,jan 2024
WB,Crowd Supervisor ,"109,980 - 149,968",TV,apr 2024
WB,Head of FX,"160,000 - 175,000",TV,mar 2024
WB,"Senior FX Artist, CG (Unreal) ","54,600 - 96,200",TV,mar 2025
WB,"Head of Lighting, CG","165,100 - 184,600",TV,may 2025
WB,"Lighting Supervisor, CG ","78,000 - 119,600",TV,apr 2024
WB,"Lighting/Compositing Supervisor, CG (Unreal) ","75,400 - 119,600",TV,dec 2023
WB,Lead Lighter/Compositor ,"78,000 - 119,600",TV,aug 2024
WB,"Lead Lighter/Compositor, CG (Unreal) ","75,400 - 119,600",TV,dec 2023
WB,"Senior Lighter/Compositor, CG (Unreal) ","54,600 - 88,400",TV,dec 2023
WB,"Lighter/Compositor, CG (Unreal) ","54,600 - 88,400",TV,dec 2023
WB,"Head of Compositing, CG","165,100 - 184,600",TV,may 2025
WB,Compositing Supervisor - Feature,"144,977 - 160,004",Feature,jan 2025
WB,"Director, Technology (Software) ","170,000 - 185,000",TV,jun 2024
WB,Lead Pipeline TD-Houdini,"119,600 - 158,600",TV,dec 2024
WB,Senior Pipeline TD-Houdini,"80,600 - 154,960",TV,oct 2024
WB,CFX TD,"78,000 - 117,000",TV,may 2024
WB,FX TD,"78,000 - 117,000",TV,may 2024
WB,Groom TD,"78,000 - 117,000",TV,may 2024
WB,Pipeline TD-Maya ,"78,000 - 117,000",TV,oct 2024
WB,Pipeline TD-Flow ,"77,000 - 117,000",TV,may 2025
WB,Lead Pipeline TD-2D ,"119,600 - 158,600",TV,mar 2025
WB,Senior Pipeline Developer,"80,500 - 145,000",TV,may 2025
WV,Pipeline Developer,"75,000 - 117,000",TV,may 2025
WETA,Layout Environment TD,"89,440 - 110,240",Feature,oct 2024
WETA,FX TD,"104,000 - 124,800",Feature,mar 2025
WDAS,CG Supervisor,"180,000 - 215,000",Feature,nov 2023
WDAS,Environment Modeler,"87,210 - 112,260",Feature,nov 2023
WDAS,Environment Modeler,"76,500 - 99,000",TV,sept 2024
WDAS,Environment Look Development Artist,"87,210 - 112,260",Feature,nov 2023
WDAS,Director of Cinematography - Layout,"178,500 - 231,000",Feature,apr 2024
WDAS,Layout Artist,"112,370 - 145,420",Feature,mar 2024
WDAS,Layout Finaling Artist,"87,210 - 145,420",Feature,mar 2024
WDAS,Rigging Supervisor,"142,290 - 184,140",Feature,sept 2024
WDAS,Rigging TD,"87,210 - 145,420",Feature,mar 2024
WDAS,Crowd Artist,"112,370 - 145,420",Feature,may 2024
WDAS,Crowd/Fix Animator,"87,210 - 100,000",Feature,mar 2024
WDAS,Animator (Contract),"100,300 - 145,420",Feature,mar 2024
WDAS,CFX Artist (Contract),"87,210 - 112,260",Feature,nov 2023
WDAS,CFX Artist (Contract),"87,210 - 145,420",Feature,may 2024
WDAS,FX Artist,"112,370 - 145,420",Feature,apr 2024
WDAS,Lighting Artist,"112,370 - 145,420",Feature,apr 2024
WDAS,General Technical Director,"112,370 - 145,420",Feature,feb 2024
WDAS,Assistant TD,"87,210 - 95,000",Feature,may 2024
WDAS,Set Extension Supervisor (DMP),"142,290 - 184,140",Feature,sept 2024
ZS,VFX Producer,"120,000 - 140,000",Feature,oct 2024
ZS,VFX Production Manager,"72,800 - 93,600",Feature,jun 2024
ZS,VFX Production Manager,"93,600 - 114,400",Feature,feb 2025
ZS,Assistant Production Manager (APM),"72,800 - 93,600",Feature,oct 2024
ZS,CG Supervisor,"150,000 - 160,000",Feature,jun 2024
ZS,Senior Texture Artist,"93,600 - 135,200",Feature,oct 2024
ZS,Senior Environments Look Dev Artist,"93,600 - 135,200",Feature,jun 2025
ZS,Senior VFX Rigger,"93,600 - 135,200",Feature,aug 2024
ZS,Matchmove Artist,"72,800 - 93,600",Feature,nov 2024
ZS,Senior VFX Layout Artist,"93,600 - 114,400",Feature,jun 2024
ZS,VFX Layout Artist,"72,800 - 93,600",Feature,jun 2024
ZS,Lead Animator,"104,000 - 135,200",Feature,jun 2024
ZS,Senior Animator,"104,000 - 135,200",Feature,jun 2024
ZS,Animator,"72,800 - 93,600",Feature,jun 2024
ZS,Senior CFX Artist,"104,000 - 135,200",Feature,jun 2024
ZS,CFX Artist,"72,800 - 93,600",Feature,jun 2024
ZS,Senior Groom Artist,"104,000 - 135,200",Feature,aug 2024
ZS,Lead Houdini Crowd Artist,"114,400 - 135,200",Feature,jun 2024
ZS,Senior Houdini Crowd Artist,"104,000 - 135,200",Feature,jun 2024
ZS,Senior FX Artist,"104,000 - 135,200",Feature,jun 2024
ZS,FX Artist,"72,800 - 93,600",Feature,jun 2024
ZS,Senior Lighting Artist,"104,000 - 135,200",Feature,jun 2024
ZS,Senior Houdini Lighting Artist,"104,000 - 135,200",Feature,nov 2024
ZS,Digital Matte Painter,"93,600 - 135,200",Feature,dec 2024
ZS,Environment Artist,"72,800 - 114,400",Feature,apr 2025
ZS,Senior Rotoscope/Paint Artist,"72,800 - 93,600",Feature,jun 2024
ZS,Rotoscope/Paint Artist,"72,800 - 93,600",Feature,jun 2024
ZS,2D Lead,"114,400 - 135,200",Feature,dec 2024
ZS,Senior Compositor,"93,600 - 135,200",Feature,aug 2024
ZS,Nuke Pipeline Developer,"93,600 - 135,200",Feature,sept 2024
ZS,Senior Render Pipeline Technical Director,"83,200 - 114,400",Feature,oct 2024
ZS,Senior Houdini Groom/CFX TD,"104,000 - 135,20",Feature,oct 2024
ZS,FX Pipeline Technical Director (TD) ,"93,600 - 135,200",Feature,mar 2025
ZS,VFX Animation Technical Director (TD),"93,600 - 135,200",Feature,jun 2025
